Message,Category
Call FREEPHONE 0800 542 0578 now!,spam
All these nice new shirts and the only thing I can wear them to is nudist themed ;_; you in mu?,ham
Hmm thinking lor...,ham
How are you babes. Hope your doing ok. I had a shit nights sleep. I fell asleep at 5.IåÕm knackered and iåÕm dreading work tonight. What are thou upto tonight. X,ham
I always chat with you. In fact i need money can you raise me?,ham
Enter OTP 523923 to proceed with your transaction.,OTP
Your OTP is 461006 and is valid for 10 minutes.,OTP
Your OTP is 904908 and is valid for 10 minutes.,OTP
Can u look 4 me in da lib i got stuff havent finish yet.,ham
Eatin my lunch...,ham
Slaaaaave ! Where are you ? Must I summon you to me all the time now ? Don't you wish to come to me on your own anymore?,ham
Dunno lei shd b driving lor cos i go sch 1 hr oni.,ham
ÌÏ no home work to do meh... ,ham
Yar but they say got some error.,ham
"Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same.",ham
"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",spam
This is a suspicious login attempt. Was this you?,Fraud
Actually i deleted my old website..now i m blogging at magicalsongs.blogspot.com,ham
What class of  &lt;#&gt;  reunion?,ham
Was the actual exam harder than NBME,ham
"I have 2 sleeping bags, 1 blanket and paper and  phone details. Anything else?",ham
Hi di is yijue we're meeting at 7 pm at esaplanade tonight.,ham
"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",ham
This is a suspicious login attempt. Was this you?,Fraud
I've told you everything will stop. Just dont let her get dehydrated.,ham
"And that is the problem. You walk around in \julianaland\"" oblivious to what is going on around you. I say the same things constantly and they go in one ear and out the other while you go off doing whatever you want to do. It's not that you don't know why I'm upset--it's that you don't listen when i tell you WHAT is going to upset me. Then you want to be surprised when I'm mad.""",ham
Your package is out for delivery and will arrive by 6 PM.,Logistic
