Message,Category
Your OTP is 512570. Do not share it with anyone.,OTP
Your order #2632 has been dispatched.,Logistic
This is a suspicious login attempt. Was this you?,Fraud
Your OTP is 270245. Do not share it with anyone.,OTP
Your package is out for delivery and will arrive by 6 PM.,Logistic
Unusual activity detected in your account. Verify immediately.,Fraud
Your OTP is 586437 and is valid for 10 minutes.,OTP
Track your shipment here: [tracking_link].,Logistic
Unusual activity detected in your account. Verify immediately.,Fraud
Your OTP is 199785 and is valid for 10 minutes.,OTP
Track your shipment here: [tracking_link].,Logistic
"Your account password has been reset. If not you, contact support.",Fraud
Enter OTP 766365 to proceed with your transaction.,OTP
Track your shipment here: [tracking_link].,Logistic
This is a suspicious login attempt. Was this you?,Fraud
Your OTP is 115606 and is valid for 10 minutes.,OTP
Track your shipment here: [tracking_link].,Logistic
This is a suspicious login attempt. Was this you?,Fraud
Your OTP is 156577. Do not share it with anyone.,OTP
Your package is out for delivery and will arrive by 6 PM.,Logistic
"Your account password has been reset. If not you, contact support.",Fraud
Your OTP is 441077 and is valid for 10 minutes.,OTP
Track your shipment here: [tracking_link].,Logistic
"Your account password has been reset. If not you, contact support.",Fraud
Your OTP is 186995. Do not share it with anyone.,OTP
Your package is out for delivery and will arrive by 6 PM.,Logistic
This is a suspicious login attempt. Was this you?,Fraud
Your OTP is 918014. Do not share it with anyone.,OTP
Track your shipment here: [tracking_link].,Logistic
This is a suspicious login attempt. Was this you?,Fraud
Your OTP is 330229. Do not share it with anyone.,OTP
Your package is out for delivery and will arrive by 6 PM.,Logistic
"Your account password has been reset. If not you, contact support.",Fraud
Your OTP is 421852. Do not share it with anyone.,OTP
Track your shipment here: [tracking_link].,Logistic
Unusual activity detected in your account. Verify immediately.,Fraud
Enter OTP 761837 to proceed with your transaction.,OTP
Your package is out for delivery and will arrive by 6 PM.,Logistic
Unusual activity detected in your account. Verify immediately.,Fraud
Your OTP is 604851 and is valid for 10 minutes.,OTP
Track your shipment here: [tracking_link].,Logistic
This is a suspicious login attempt. Was this you?,Fraud
Enter OTP 903967 to proceed with your transaction.,OTP
Your order #9238 has been dispatched.,Logistic
Unusual activity detected in your account. Verify immediately.,Fraud
Your OTP is 158263. Do not share it with anyone.,OTP
Your package is out for delivery and will arrive by 6 PM.,Logistic
This is a suspicious login attempt. Was this you?,Fraud
Your OTP is 660142. Do not share it with anyone.,OTP
Your package is out for delivery and will arrive by 6 PM.,Logistic
"Your account password has been reset. If not you, contact support.",Fraud
Your OTP is 136437. Do not share it with anyone.,OTP
Your package is out for delivery and will arrive by 6 PM.,Logistic
"Your account password has been reset. If not you, contact support.",Fraud
Enter OTP 975672 to proceed with your transaction.,OTP
Track your shipment here: [tracking_link].,Logistic
"Your account password has been reset. If not you, contact support.",Fraud
Your OTP is 872786. Do not share it with anyone.,OTP
Your package is out for delivery and will arrive by 6 PM.,Logistic
This is a suspicious login attempt. Was this you?,Fraud
Enter OTP 193058 to proceed with your transaction.,OTP
Your package is out for delivery and will arrive by 6 PM.,Logistic
"Your account password has been reset. If not you, contact support.",Fraud
Enter OTP 958107 to proceed with your transaction.,OTP
Your package is out for delivery and will arrive by 6 PM.,Logistic
This is a suspicious login attempt. Was this you?,Fraud
